"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Jarrett Allen","BKN","PF,C","728","592","94","91","33",".636",".670","1","68","1,778","79"
"Taurean Prince","BKN","SF,PF","725","284","115","19","51",".422",".812","126","66","1,691","107"
"Ivica Zubac","LAC","C","725","596","96","77","20",".578",".757","0","68","1,663","80"
"OG Anunoby","TOR","SF,PF","720","337","97","40","89",".480",".671","94","68","2,009","85"
"Killian Hayes","DET","PG,SG","714","174","293","13","68",".438",".842","71","66","1,635","140"
"Donte DiVincenzo","MIL","PG,SG","709","358","172","22","96",".453",".746","109","67","1,786","96"
"Paul Millsap","DEN","PF,C","704","362","103","40","57",".481",".779","58","63","1,536","84"
"Luguentz Dort","OKC","SG","699","185","68","12","65",".402",".768","93","67","1,888","60"
"Aron Baynes","TOR","C","695","423","109","47","20",".478",".775","74","63","1,578","84"
"Kentavious Caldwell-Pope","LAL","PG,SG,SF","695","179","100","14","65",".454",".822","108","68","1,775","54"
"Jeremy Lamb","IND","SG,SF ","693","245","114","24","62",".450",".851","65","58","1,506","58"
"James Wiseman","GSW","C","688","513","66","106","38",".538",".699","3","66","1,804","85"
"Luke Kennard","LAC","SG,SF","679","181","144","9","26",".451",".871","115","63","1,552","63"
"Kevin Huerter","ATL","SG,SF","675","210","200","27","52",".427",".802","128","66","1,793","88"
"Bryn Forbes","MIL","PG,SG","675","136","102","0","30",".432",".840","143","66","1,501","54"
"Elfrid Payton","NYK","PG","671","303","438","26","90",".437",".659","33","64","1,908","150"
"Rudy Gay","SAS","SF,PF","671","327","116","29","36",".480",".843","54","66","1,357","82"
"Mikal Bridges","PHO","SG,SF","671","275","138","40","107",".479",".830","92","69","2,129","75"
"Delon Wright","DET","PG,SG,SF","670","305","267","27","99",".458",".788","59","67","1,819","87"
"Naz Reid","MIN","C","669","295","80","52","46",".437",".714","77","62","1,221","50"
"Bobby Portis","MIL","PF,C","669","362","86","20","32",".460",".778","76","65","1,318","70"
"Cameron Johnson","PHO","SG,SF","665","231","85","26","47",".438",".801","148","65","1,643","54"
"Richaun Holmes","SAC","PF,C","665","415","57","69","47",".642",".772","0","66","1,465","60"
"Nemanja Bjelica","SAC","PF","664","376","155","34","47",".485",".799","97","68","1,681","78"
"Cody Zeller","CHA","PF,C","663","418","105","39","45",".527",".716","17","63","1,546","84"
"Cam Reddish","ATL","SG,SF","652","206","81","28","59",".413",".805","89","66","1,538","97"
